代码,时间,收盘价(元)
000902.SH,2006/2/27,1081.88 
000902.SH,2006/2/28,1087.72 
000902.SH,2006/3/1,1096.32 
000902.SH,2006/3/2,1071.56 
000902.SH,2006/3/3,1074.12 
000902.SH,2006/3/6,1069.46 
000902.SH,2006/3/7,1039.37 
000902.SH,2006/3/8,1034.93 
000902.SH,2006/3/9,1031.88 
000902.SH,2006/3/10,1039.01 
000902.SH,2006/3/13,1052.16 
000902.SH,2006/3/14,1050.84 
000902.SH,2006/3/15,1065.81 
000902.SH,2006/3/16,1065.36 
000902.SH,2006/3/17,1062.81 
000902.SH,2006/3/20,1082.45 
000902.SH,2006/3/21,1087.34 
000902.SH,2006/3/22,1099.58 
000902.SH,2006/3/23,1104.28 
000902.SH,2006/3/24,1095.98 
000902.SH,2006/3/27,1109.73 
000902.SH,2006/3/28,1118.90 
000902.SH,2006/3/29,1125.67 
000902.SH,2006/3/30,1112.07 
000902.SH,2006/3/31,1120.50 
000902.SH,2006/4/3,1149.56 
000902.SH,2006/4/4,1163.88 
000902.SH,2006/4/5,1175.47 
000902.SH,2006/4/6,1178.08 
000902.SH,2006/4/7,1178.75 
000902.SH,2006/4/10,1198.35 
000902.SH,2006/4/11,1201.81 
000902.SH,2006/4/12,1192.58 
000902.SH,2006/4/13,1155.20 
000902.SH,2006/4/14,1186.87 
000902.SH,2006/4/17,1187.57 
000902.SH,2006/4/18,1193.04 
000902.SH,2006/4/19,1196.59 
000902.SH,2006/4/20,1188.77 
000902.SH,2006/4/21,1204.19 
000902.SH,2006/4/24,1192.81 
000902.SH,2006/4/25,1195.46 
000902.SH,2006/4/26,1210.01 
000902.SH,2006/4/27,1209.73 
000902.SH,2006/4/28,1225.80 
000902.SH,2006/5/8,1280.98 
000902.SH,2006/5/9,1322.06 
000902.SH,2006/5/10,1342.28 
000902.SH,2006/5/11,1325.51 
000902.SH,2006/5/12,1372.45 
000902.SH,2006/5/15,1442.68 
000902.SH,2006/5/16,1397.75 
000902.SH,2006/5/17,1403.22 
000902.SH,2006/5/18,1401.50 
000902.SH,2006/5/19,1439.61 
000902.SH,2006/5/22,1449.56 
000902.SH,2006/5/23,1376.31 
000902.SH,2006/5/24,1359.03 
000902.SH,2006/5/25,1360.42 
000902.SH,2006/5/26,1386.42 
000902.SH,2006/5/29,1425.56 
000902.SH,2006/5/30,1442.44 
000902.SH,2006/5/31,1424.31 
000902.SH,2006/6/1,1468.06 
000902.SH,2006/6/2,1458.84 
000902.SH,2006/6/5,1476.98 
000902.SH,2006/6/6,1466.46 
000902.SH,2006/6/7,1369.76 
000902.SH,2006/6/8,1377.25 
000902.SH,2006/6/9,1343.08 
000902.SH,2006/6/12,1351.86 
000902.SH,2006/6/13,1357.94 
000902.SH,2006/6/14,1342.08 
000902.SH,2006/6/15,1346.65 
000902.SH,2006/6/16,1383.56 
000902.SH,2006/6/19,1404.91 
000902.SH,2006/6/20,1413.66 
000902.SH,2006/6/21,1405.92 
000902.SH,2006/6/22,1405.22 
000902.SH,2006/6/23,1418.59 
000902.SH,2006/6/26,1446.64 
000902.SH,2006/6/27,1449.36 
000902.SH,2006/6/28,1448.89 
000902.SH,2006/6/29,1483.84 
000902.SH,2006/6/30,1480.91 
000902.SH,2006/7/3,1512.27 
000902.SH,2006/7/4,1503.33 
000902.SH,2006/7/5,1486.08 
000902.SH,2006/7/6,1520.12 
000902.SH,2006/7/7,1513.40 
000902.SH,2006/7/10,1518.35 
000902.SH,2006/7/11,1526.89 
000902.SH,2006/7/12,1527.16 
000902.SH,2006/7/13,1431.54 
000902.SH,2006/7/14,1443.34 
000902.SH,2006/7/17,1464.94 
000902.SH,2006/7/18,1469.83 
000902.SH,2006/7/19,1429.06 
000902.SH,2006/7/20,1439.76 
000902.SH,2006/7/21,1450.56 
000902.SH,2006/7/24,1452.51 
000902.SH,2006/7/25,1472.91 
000902.SH,2006/7/26,1471.66 
000902.SH,2006/7/27,1453.46 
000902.SH,2006/7/28,1437.37 
000902.SH,2006/7/31,1378.58 
000902.SH,2006/8/1,1364.05 
000902.SH,2006/8/2,1357.88 
000902.SH,2006/8/3,1355.05 
000902.SH,2006/8/4,1315.37 
000902.SH,2006/8/7,1291.40 
000902.SH,2006/8/8,1327.16 
000902.SH,2006/8/9,1326.87 
000902.SH,2006/8/10,1350.33 
000902.SH,2006/8/11,1356.42 
000902.SH,2006/8/14,1319.79 
000902.SH,2006/8/15,1344.87 
000902.SH,2006/8/16,1366.13 
000902.SH,2006/8/17,1353.85 
000902.SH,2006/8/18,1348.00 
000902.SH,2006/8/21,1353.49 
000902.SH,2006/8/22,1370.37 
000902.SH,2006/8/23,1369.18 
000902.SH,2006/8/24,1379.57 
000902.SH,2006/8/25,1383.64 
000902.SH,2006/8/28,1418.83 
000902.SH,2006/8/29,1421.73 
000902.SH,2006/8/30,1429.91 
000902.SH,2006/8/31,1436.81 
000902.SH,2006/9/1,1411.63 
000902.SH,2006/9/4,1436.36 
000902.SH,2006/9/5,1439.25 
000902.SH,2006/9/6,1445.05 
000902.SH,2006/9/7,1422.44 
000902.SH,2006/9/8,1426.14 
000902.SH,2006/9/11,1433.90 
000902.SH,2006/9/12,1441.48 
000902.SH,2006/9/13,1426.57 
000902.SH,2006/9/14,1426.27 
000902.SH,2006/9/15,1449.88 
000902.SH,2006/9/18,1468.37 
000902.SH,2006/9/19,1471.18 
000902.SH,2006/9/20,1473.66 
000902.SH,2006/9/21,1480.37 
000902.SH,2006/9/22,1465.25 
000902.SH,2006/9/25,1463.20 
000902.SH,2006/9/26,1448.66 
000902.SH,2006/9/27,1462.01 
000902.SH,2006/9/28,1478.23 
