ITEM,SID,EID
CKING,500026,1
SVG,500026,2
ATM,500026,3
ATM,500026,4
CKING,500075,1
MMDA,500075,2
SVG,500075,3
ATM,500075,4
TRUST,500075,5
TRUST,500075,6
CKING,500129,1
SVG,500129,2
IRA,500129,3
ATM,500129,4
ATM,500129,5
CKING,500256,1
SVG,500256,2
CKCRD,500256,3
CKCRD,500256,4
CKING,500341,1
SVG,500341,2
CKCRD,500341,3
CKCRD,500341,4
CKING,500350,1
CD,500350,2
CD,500350,3
SVG,500458,1
ATM,500458,2
ATM,500458,3
CKING,500595,1
SVG,500595,2
CD,500595,3
TRUST,500595,4
TRUST,500595,5
CKING,500743,1
SVG,500743,2
CCRD,500743,3
HMEQLC,500743,4
MTG,500743,5
CKCRD,500743,6
CKCRD,500743,7
CKING,500744,1
CD,500744,2
CD,500744,3
CKING,500823,1
SVG,500823,2
CCRD,500823,3
PLOAN,500823,4
PLOAN,500823,5
CKING,500899,1
SVG,500899,2
CD,500899,3
CD,500899,4
CKING,501244,1
ATM,501244,2
ATM,501244,3
CKING,501260,1
SVG,501260,2
CD,501260,3
IRA,501260,4
ATM,501260,5
CCRD,501260,6
TRUST,501260,7
TRUST,501260,8
CKING,501264,1
SVG,501264,2
SVG,501264,3
CKING,501272,1
SVG,501272,2
CD,501272,3
ATM,501272,4
ATM,501272,5
CKING,501420,1
SVG,501420,2
SVG,501420,3
CKING,501479,1
SVG,501479,2
SVG,501479,3
CKING,501533,1
CCRD,501533,2
CCRD,501533,3
CKING,501551,1
SVG,501551,2
CD,501551,3
ATM,501551,4
AUTO,501551,5
AUTO,501551,6
CKING,501598,1
CKING,501598,2
CKING,501601,1
MMDA,501601,2
SVG,501601,3
CD,501601,4
ATM,501601,5
ATM,501601,6
CKING,501648,1
CKING,501648,2
CKING,501649,1
SVG,501649,2
ATM,501649,3
ATM,501649,4
CKING,501702,1
SVG,501702,2
CD,501702,3
CD,501702,4
SVG,501760,1
SVG,501760,2
CKING,501774,1
MMDA,501774,2
MMDA,501774,3
CKING,501817,1
SVG,501817,2
CD,501817,3
ATM,501817,4
ATM,501817,5
CKING,501823,1
SVG,501823,2
ATM,501823,3
HMEQLC,501823,4
PLOAN,501823,5
AUTO,501823,6
AUTO,501823,7
CKING,501830,1
MMDA,501830,2
CD,501830,3
IRA,501830,4
ATM,501830,5
ATM,501830,6
CKING,501909,1
SVG,501909,2
ATM,501909,3
CCRD,501909,4
CCRD,501909,5
SVG,502039,1
CD,502039,2
ATM,502039,3
ATM,502039,4
CKING,502074,1
MMDA,502074,2
ATM,502074,3
ATM,502074,4
CKING,502114,1
SVG,502114,2
CD,502114,3
ATM,502114,4
CCRD,502114,5
CCRD,502114,6
CKING,502127,1
MMDA,502127,2
MMDA,502127,3
CKING,502343,1
SVG,502343,2
ATM,502343,3
ATM,502343,4
CKING,502479,1
SVG,502479,2
ATM,502479,3
ATM,502479,4
CKING,502646,1
MMDA,502646,2
ATM,502646,3
ATM,502646,4
CKING,502662,1
AUTO,502662,2
AUTO,502662,3
CKING,502698,1
MMDA,502698,2
MMDA,502698,3
CKING,502738,1
CD,502738,2
CD,502738,3
CKING,502752,1
SVG,502752,2
ATM,502752,3
ATM,502752,4
CD,502907,1
CD,502907,2
AUTO,503022,1
AUTO,503022,2
CKING,503099,1
SVG,503099,2
SVG,503099,3
CKING,503111,1
SVG,503111,2
CD,503111,3
ATM,503111,4
ATM,503111,5
CKING,503148,1
SVG,503148,2
ATM,503148,3
ATM,503148,4
CKING,503164,1
SVG,503164,2
CCRD,503164,3
MTG,503164,4
CKCRD,503164,5
CKCRD,503164,6
CKING,503272,1
HMEQLC,503272,2
HMEQLC,503272,3
CKING,503361,1
SVG,503361,2
ATM,503361,3
MTG,503361,4
MTG,503361,5
CKING,503471,1
SVG,503471,2
CD,503471,3
CD,503471,4
CKING,503515,1
SVG,503515,2
CD,503515,3
CD,503515,4
CKING,503634,1
MMDA,503634,2
MMDA,503634,3
CKING,503806,1
SVG,503806,2
ATM,503806,3
ATM,503806,4
CKING,503873,1
SVG,503873,2
IRA,503873,3
IRA,503873,4
CKING,503877,1
SVG,503877,2
IRA,503877,3
CKCRD,503877,4
CKCRD,503877,5
CKING,503901,1
SVG,503901,2
HMEQLC,503901,3
MTG,503901,4
MTG,503901,5
CKING,503931,1
ATM,503931,2
ATM,503931,3
CKING,504080,1
MMDA,504080,2
MMDA,504080,3
CKING,504158,1
ATM,504158,2
ATM,504158,3
SVG,504182,1
SVG,504182,2
CKING,504334,1
CCRD,504334,2
CKCRD,504334,3
CKCRD,504334,4
CKING,504339,1
MMDA,504339,2
SVG,504339,3
ATM,504339,4
HMEQLC,504339,5
MTG,504339,6
MTG,504339,7
CKING,504415,1
SVG,504415,2
ATM,504415,3
ATM,504415,4
CKING,504422,1
HMEQLC,504422,2
HMEQLC,504422,3
CKING,504434,1
SVG,504434,2
SVG,504434,3
CKING,504446,1
SVG,504446,2
CKCRD,504446,3
CKCRD,504446,4
CKING,504499,1
SVG,504499,2
SVG,504499,3
CKING,504752,1
MMDA,504752,2
SVG,504752,3
CD,504752,4
ATM,504752,5
HMEQLC,504752,6
MTG,504752,7
TRUST,504752,8
AUTO,504752,9
AUTO,504752,10
CKING,504856,1
SVG,504856,2
ATM,504856,3
HMEQLC,504856,4
AUTO,504856,5
AUTO,504856,6
CKING,504988,1
HMEQLC,504988,2
CKCRD,504988,3
CKCRD,504988,4
SVG,505014,1
SVG,505014,2
CKING,505070,1
ATM,505070,2
ATM,505070,3
CKING,505082,1
SVG,505082,2
CD,505082,3
CD,505082,4
CKING,505197,1
SVG,505197,2
ATM,505197,3
ATM,505197,4
CKING,505277,1
SVG,505277,2
CD,505277,3
CD,505277,4
CKING,505414,1
CKING,505414,2
CKING,505419,1
MMDA,505419,2
SVG,505419,3
SVG,505419,4
CKING,505442,1
SVG,505442,2
AUTO,505442,3
CKCRD,505442,4
CKCRD,505442,5
CKING,505546,1
SVG,505546,2
CCRD,505546,3
HMEQLC,505546,4
CKCRD,505546,5
CKCRD,505546,6
CKING,505627,1
SVG,505627,2
CD,505627,3
CD,505627,4
SVG,505646,1
SVG,505646,2
CKING,505656,1
SVG,505656,2
ATM,505656,3
ATM,505656,4
CKING,505677,1
ATM,505677,2
ATM,505677,3
CKING,505680,1
HMEQLC,505680,2
HMEQLC,505680,3
CKING,505868,1
ATM,505868,2
ATM,505868,3
CKING,505981,1
HMEQLC,505981,2
HMEQLC,505981,3
CKING,506050,1
CKING,506050,2
CKING,506171,1
MMDA,506171,2
CD,506171,3
TRUST,506171,4
TRUST,506171,5
CKING,506302,1
SVG,506302,2
SVG,506302,3
CKING,506364,1
SVG,506364,2
CCRD,506364,3
CKCRD,506364,4
CKCRD,506364,5
CKING,506697,1
CKING,506697,2
CKING,506699,1
SVG,506699,2
AUTO,506699,3
AUTO,506699,4
CKING,506708,1
HMEQLC,506708,2
MTG,506708,3
CKCRD,506708,4
CKCRD,506708,5
CKING,506765,1
CKING,506765,2
CKING,506816,1
SVG,506816,2
SVG,506816,3
SVG,506861,1
SVG,506861,2
CKING,506942,1
ATM,506942,2
HMEQLC,506942,3
HMEQLC,506942,4
SVG,506945,1
ATM,506945,2
ATM,506945,3
CD,506947,1
CD,506947,2
CKING,507002,1
SVG,507002,2
ATM,507002,3
ATM,507002,4
CKING,507084,1
MMDA,507084,2
SVG,507084,3
CD,507084,4
ATM,507084,5
AUTO,507084,6
AUTO,507084,7
CKING,507206,1
SVG,507206,2
ATM,507206,3
HMEQLC,507206,4
AUTO,507206,5
AUTO,507206,6
CKING,507257,1
CD,507257,2
CCRD,507257,3
CCRD,507257,4
CKING,507382,1
MMDA,507382,2
ATM,507382,3
HMEQLC,507382,4
HMEQLC,507382,5
CKING,507429,1
MMDA,507429,2
MMDA,507429,3
CKING,507510,1
MMDA,507510,2
HMEQLC,507510,3
AUTO,507510,4
AUTO,507510,5
CKING,507551,1
SVG,507551,2
SVG,507551,3
SVG,507651,1
SVG,507651,2
CKING,507772,1
MMDA,507772,2
SVG,507772,3
CD,507772,4
CCRD,507772,5
HMEQLC,507772,6
MTG,507772,7
MTG,507772,8
CKING,507835,1
MMDA,507835,2
SVG,507835,3
CCRD,507835,4
HMEQLC,507835,5
TRUST,507835,6
TRUST,507835,7
SVG,507994,1
SVG,507994,2
CKING,507998,1
SVG,507998,2
CD,507998,3
HMEQLC,507998,4
CKCRD,507998,5
CKCRD,507998,6
CKING,508028,1
SVG,508028,2
CD,508028,3
PLOAN,508028,4
AUTO,508028,5
AUTO,508028,6
CKING,508201,1
SVG,508201,2
SVG,508201,3
CKING,508250,1
CKING,508250,2
SVG,508307,1
ATM,508307,2
ATM,508307,3
CKING,508331,1
SVG,508331,2
ATM,508331,3
MTG,508331,4
MTG,508331,5
CKING,508431,1
CKING,508431,2
CKING,508521,1
SVG,508521,2
IRA,508521,3
CCRD,508521,4
CKCRD,508521,5
CKCRD,508521,6
CKING,508588,1
ATM,508588,2
ATM,508588,3
SVG,508668,1
SVG,508668,2
CKING,508794,1
CCRD,508794,2
CCRD,508794,3
CKING,508902,1
MMDA,508902,2
SVG,508902,3
CD,508902,4
CCRD,508902,5
MTG,508902,6
CKCRD,508902,7
CKCRD,508902,8
CKING,508974,1
CKING,508974,2
CKING,509037,1
SVG,509037,2
SVG,509037,3
CKING,509106,1
SVG,509106,2
ATM,509106,3
ATM,509106,4
CKING,509262,1
MMDA,509262,2
SVG,509262,3
MTG,509262,4
MTG,509262,5
CKING,509371,1
SVG,509371,2
ATM,509371,3
HMEQLC,509371,4
MTG,509371,5
MTG,509371,6
CKING,509415,1
SVG,509415,2
ATM,509415,3
MTG,509415,4
MTG,509415,5
SVG,509513,1
SVG,509513,2
CKING,509517,1
SVG,509517,2
SVG,509517,3
CKING,509547,1
SVG,509547,2
SVG,509547,3
CKING,509562,1
CD,509562,2
CD,509562,3
IRA,509573,1
IRA,509573,2
CKING,509660,1
SVG,509660,2
CCRD,509660,3
CCRD,509660,4
CKING,509725,1
SVG,509725,2
IRA,509725,3
CCRD,509725,4
CCRD,509725,5
CKING,509769,1
CKING,509769,2
CKING,509913,1
SVG,509913,2
AUTO,509913,3
AUTO,509913,4
CKING,509981,1
MMDA,509981,2
ATM,509981,3
ATM,509981,4
CKING,510175,1
MMDA,510175,2
SVG,510175,3
CD,510175,4
IRA,510175,5
CCRD,510175,6
HMEQLC,510175,7
TRUST,510175,8
CKCRD,510175,9
CKCRD,510175,10
CKING,510186,1
SVG,510186,2
CD,510186,3
IRA,510186,4
MTG,510186,5
MTG,510186,6
CKING,510244,1
SVG,510244,2
SVG,510244,3
CKING,510294,1
SVG,510294,2
ATM,510294,3
ATM,510294,4
CKING,510312,1
SVG,510312,2
CD,510312,3
IRA,510312,4
ATM,510312,5
CCRD,510312,6
CCRD,510312,7
CKING,510328,1
CKING,510328,2
SVG,510352,1
ATM,510352,2
AUTO,510352,3
AUTO,510352,4
CKING,510446,1
SVG,510446,2
SVG,510446,3
CKING,510514,1
SVG,510514,2
ATM,510514,3
AUTO,510514,4
AUTO,510514,5
CKING,510544,1
SVG,510544,2
CD,510544,3
ATM,510544,4
ATM,510544,5
CKING,510587,1
SVG,510587,2
CD,510587,3
CD,510587,4
CKING,510689,1
ATM,510689,2
ATM,510689,3
CKING,510722,1
SVG,510722,2
CD,510722,3
HMEQLC,510722,4
HMEQLC,510722,5
CKING,510812,1
CD,510812,2
CD,510812,3
CKING,510819,1
SVG,510819,2
ATM,510819,3
ATM,510819,4
SVG,510824,1
SVG,510824,2
CKING,510875,1
SVG,510875,2
CD,510875,3
CD,510875,4
CKING,510897,1
MMDA,510897,2
MMDA,510897,3
CKING,510944,1
CKING,510944,2
CKING,511028,1
CKING,511028,2
CKING,511069,1
MMDA,511069,2
SVG,511069,3
CD,511069,4
CD,511069,5
CKING,511086,1
SVG,511086,2
CCRD,511086,3
MTG,511086,4
CKCRD,511086,5
CKCRD,511086,6
CKING,511123,1
CD,511123,2
CCRD,511123,3
CCRD,511123,4
CKING,511127,1
CKING,511127,2
CKING,511153,1
MMDA,511153,2
SVG,511153,3
CKCRD,511153,4
CKCRD,511153,5
CKING,511208,1
MMDA,511208,2
TRUST,511208,3
TRUST,511208,4
CKING,511265,1
SVG,511265,2
CD,511265,3
ATM,511265,4
ATM,511265,5
CKING,511354,1
SVG,511354,2
ATM,511354,3
HMEQLC,511354,4
MTG,511354,5
MTG,511354,6
CKING,511443,1
CKING,511443,2
CKING,511478,1
SVG,511478,2
IRA,511478,3
IRA,511478,4
CKING,511527,1
MMDA,511527,2
SVG,511527,3
ATM,511527,4
ATM,511527,5
CKING,511561,1
MMDA,511561,2
CD,511561,3
CCRD,511561,4
AUTO,511561,5
AUTO,511561,6
CKING,511603,1
ATM,511603,2
MTG,511603,3
MTG,511603,4
CKING,511628,1
ATM,511628,2
ATM,511628,3
SVG,511814,1
SVG,511814,2
CKING,511839,1
SVG,511839,2
ATM,511839,3
ATM,511839,4
CKING,511906,1
SVG,511906,2
ATM,511906,3
HMEQLC,511906,4
MTG,511906,5
MTG,511906,6
CKING,512091,1
SVG,512091,2
SVG,512091,3
CKING,512097,1
SVG,512097,2
SVG,512097,3
CKING,512327,1
MMDA,512327,2
IRA,512327,3
TRUST,512327,4
TRUST,512327,5
CKING,512367,1
SVG,512367,2
ATM,512367,3
ATM,512367,4
CKING,512394,1
SVG,512394,2
CD,512394,3
CD,512394,4
CKING,512449,1
CD,512449,2
CD,512449,3
CKING,512510,1
SVG,512510,2
ATM,512510,3
PLOAN,512510,4
AUTO,512510,5
AUTO,512510,6
CKING,512540,1
SVG,512540,2
ATM,512540,3
ATM,512540,4
CKING,512681,1
CKING,512681,2
CKING,512702,1
ATM,512702,2
HMEQLC,512702,3
AUTO,512702,4
AUTO,512702,5
CKING,512703,1
SVG,512703,2
HMEQLC,512703,3
MTG,512703,4
CKCRD,512703,5
CKCRD,512703,6
CKING,512730,1
SVG,512730,2
HMEQLC,512730,3
CKCRD,512730,4
CKCRD,512730,5
CKING,512731,1
SVG,512731,2
CD,512731,3
CCRD,512731,4
CCRD,512731,5
CKING,512755,1
CKING,512755,2
CKING,512773,1
MMDA,512773,2
SVG,512773,3
SVG,512773,4
CKING,512777,1
MMDA,512777,2
SVG,512777,3
TRUST,512777,4
TRUST,512777,5
CKING,512813,1
SVG,512813,2
ATM,512813,3
ATM,512813,4
MMDA,512900,1
CD,512900,2
CD,512900,3
CKING,512932,1
SVG,512932,2
ATM,512932,3
ATM,512932,4
CKING,512933,1
SVG,512933,2
IRA,512933,3
CCRD,512933,4
CCRD,512933,5
CKING,512948,1
ATM,512948,2
ATM,512948,3
CKING,512978,1
SVG,512978,2
ATM,512978,3
ATM,512978,4
CKING,513052,1
SVG,513052,2
CCRD,513052,3
AUTO,513052,4
AUTO,513052,5
CKING,513168,1
SVG,513168,2
ATM,513168,3
AUTO,513168,4
AUTO,513168,5
CKING,513197,1
SVG,513197,2
CD,513197,3
MTG,513197,4
MTG,513197,5
CKING,513307,1
HMEQLC,513307,2
HMEQLC,513307,3
CKING,513394,1
CKING,513394,2
CKING,513414,1
MMDA,513414,2
SVG,513414,3
ATM,513414,4
HMEQLC,513414,5
HMEQLC,513414,6
CKING,513421,1
SVG,513421,2
ATM,513421,3
CCRD,513421,4
MTG,513421,5
AUTO,513421,6
AUTO,513421,7
CKING,513479,1
MMDA,513479,2
MMDA,513479,3
CKING,513660,1
SVG,513660,2
ATM,513660,3
ATM,513660,4
CKING,513685,1
SVG,513685,2
SVG,513685,3
CKING,513708,1
MMDA,513708,2
CD,513708,3
ATM,513708,4
ATM,513708,5
CKING,513822,1
SVG,513822,2
HMEQLC,513822,3
PLOAN,513822,4
AUTO,513822,5
AUTO,513822,6
CKING,513862,1
SVG,513862,2
ATM,513862,3
ATM,513862,4
CKING,513972,1
SVG,513972,2
CD,513972,3
IRA,513972,4
ATM,513972,5
ATM,513972,6
CKING,513983,1
SVG,513983,2
IRA,513983,3
ATM,513983,4
HMEQLC,513983,5
HMEQLC,513983,6
CKING,514019,1
SVG,514019,2
ATM,514019,3
MTG,514019,4
MTG,514019,5
CKING,514122,1
SVG,514122,2
CCRD,514122,3
AUTO,514122,4
CKCRD,514122,5
CKCRD,514122,6
CKING,514126,1
MMDA,514126,2
ATM,514126,3
ATM,514126,4
CKING,514153,1
SVG,514153,2
CD,514153,3
HMEQLC,514153,4
TRUST,514153,5
TRUST,514153,6
CKING,514172,1
ATM,514172,2
ATM,514172,3
CKING,514472,1
ATM,514472,2
ATM,514472,3
CKING,514522,1
SVG,514522,2
HMEQLC,514522,3
HMEQLC,514522,4
CKING,514526,1
SVG,514526,2
ATM,514526,3
ATM,514526,4
CKING,514687,1
SVG,514687,2
SVG,514687,3
CKING,514699,1
SVG,514699,2
CD,514699,3
IRA,514699,4
ATM,514699,5
ATM,514699,6
CKING,514770,1
SVG,514770,2
CD,514770,3
TRUST,514770,4
TRUST,514770,5
CKING,514813,1
SVG,514813,2
ATM,514813,3
CCRD,514813,4
MTG,514813,5
MTG,514813,6
CKING,514825,1
SVG,514825,2
HMEQLC,514825,3
MTG,514825,4
CKCRD,514825,5
CKCRD,514825,6
CKING,514907,1
SVG,514907,2
CD,514907,3
CKCRD,514907,4
CKCRD,514907,5
AUTO,515025,1
AUTO,515025,2
CKING,515030,1
SVG,515030,2
SVG,515030,3
CKING,515055,1
SVG,515055,2
ATM,515055,3
ATM,515055,4
CKING,515075,1
AUTO,515075,2
CKCRD,515075,3
CKCRD,515075,4
CKING,515171,1
ATM,515171,2
HMEQLC,515171,3
MTG,515171,4
AUTO,515171,5
AUTO,515171,6
CKING,515279,1
MTG,515279,2
CKCRD,515279,3
CKCRD,515279,4
CKING,515287,1
SVG,515287,2
SVG,515287,3
CKING,515302,1
CCRD,515302,2
CCRD,515302,3
SVG,515326,1
SVG,515326,2
SVG,515350,1
SVG,515350,2
CKING,515365,1
SVG,515365,2
SVG,515365,3
CKING,515402,1
CCRD,515402,2
HMEQLC,515402,3
CKCRD,515402,4
CKCRD,515402,5
CKING,515470,1
SVG,515470,2
SVG,515470,3
CKING,515474,1
SVG,515474,2
SVG,515474,3
CKING,515511,1
CKING,515511,2
CKING,515582,1
SVG,515582,2
ATM,515582,3
ATM,515582,4
SVG,515605,1
SVG,515605,2
CKING,515612,1
SVG,515612,2
CCRD,515612,3
HMEQLC,515612,4
AUTO,515612,5
CKCRD,515612,6
CKCRD,515612,7
CKING,515625,1
HMEQLC,515625,2
HMEQLC,515625,3
CKING,515631,1
SVG,515631,2
ATM,515631,3
HMEQLC,515631,4
MTG,515631,5
MTG,515631,6
CKING,515711,1
CKING,515711,2
CD,515721,1
CD,515721,2
CKING,515741,1
SVG,515741,2
ATM,515741,3
ATM,515741,4
CKING,515814,1
SVG,515814,2
ATM,515814,3
AUTO,515814,4
AUTO,515814,5
CKING,515832,1
SVG,515832,2
CD,515832,3
ATM,515832,4
ATM,515832,5
CKING,515848,1
SVG,515848,2
SVG,515848,3
CKING,515988,1
ATM,515988,2
ATM,515988,3
SVG,516032,1
SVG,516032,2
CKING,516052,1
MTG,516052,2
MTG,516052,3
CKING,516156,1
ATM,516156,2
ATM,516156,3
CKING,516187,1
MMDA,516187,2
SVG,516187,3
CD,516187,4
CD,516187,5
CKING,516190,1
ATM,516190,2
ATM,516190,3
CKING,516343,1
ATM,516343,2
ATM,516343,3
CKING,516384,1
CD,516384,2
CD,516384,3
CKING,516455,1
MMDA,516455,2
IRA,516455,3
IRA,516455,4
CKING,516611,1
CKING,516611,2
CKING,516631,1
CKING,516631,2
CKING,516641,1
MMDA,516641,2
SVG,516641,3
SVG,516641,4
CKING,516644,1
MMDA,516644,2
ATM,516644,3
ATM,516644,4
CKING,516803,1
ATM,516803,2
ATM,516803,3
SVG,516918,1
SVG,516918,2
CKING,516924,1
SVG,516924,2
SVG,516924,3
CKING,517096,1
SVG,517096,2
SVG,517096,3
CKING,517206,1
SVG,517206,2
IRA,517206,3
ATM,517206,4
ATM,517206,5
CKING,517219,1
CD,517219,2
IRA,517219,3
CKCRD,517219,4
CKCRD,517219,5
SVG,517341,1
SVG,517341,2
CD,517367,1
CD,517367,2
CKING,517433,1
SVG,517433,2
HMEQLC,517433,3
HMEQLC,517433,4
CKING,517577,1
SVG,517577,2
SVG,517577,3
SVG,517684,1
SVG,517684,2
IRA,517687,1
IRA,517687,2
CKING,517689,1
CKCRD,517689,2
CKCRD,517689,3
CKING,517750,1
SVG,517750,2
SVG,517750,3
CKING,517757,1
SVG,517757,2
SVG,517757,3
CKING,517780,1
MMDA,517780,2
CCRD,517780,3
MTG,517780,4
MTG,517780,5
CKING,517877,1
SVG,517877,2
CD,517877,3
IRA,517877,4
ATM,517877,5
CCRD,517877,6
CCRD,517877,7
CKING,518130,1
ATM,518130,2
ATM,518130,3
CKING,518233,1
SVG,518233,2
ATM,518233,3
MTG,518233,4
MTG,518233,5
CKING,518271,1
MMDA,518271,2
SVG,518271,3
CD,518271,4
CD,518271,5
CKING,518286,1
CKING,518286,2
SVG,518298,1
SVG,518298,2
CKING,518394,1
CD,518394,2
CD,518394,3
CKING,518408,1
CD,518408,2
CD,518408,3
CKING,518424,1
MMDA,518424,2
CKCRD,518424,3
CKCRD,518424,4
CKING,518466,1
SVG,518466,2
CD,518466,3
MTG,518466,4
MTG,518466,5
CKING,518522,1
AUTO,518522,2
AUTO,518522,3
CKING,518714,1
SVG,518714,2
CD,518714,3
HMEQLC,518714,4
CKCRD,518714,5
CKCRD,518714,6
CKING,518720,1
SVG,518720,2
CD,518720,3
ATM,518720,4
ATM,518720,5
CKING,518795,1
MMDA,518795,2
CD,518795,3
CCRD,518795,4
CCRD,518795,5
CKING,518913,1
SVG,518913,2
CD,518913,3
AUTO,518913,4
AUTO,518913,5
CKING,518917,1
MMDA,518917,2
ATM,518917,3
ATM,518917,4
CKING,518920,1
CKING,518920,2
CKING,519067,1
CD,519067,2
IRA,519067,3
ATM,519067,4
ATM,519067,5
CKING,519195,1
SVG,519195,2
CD,519195,3
CCRD,519195,4
HMEQLC,519195,5
CKCRD,519195,6
CKCRD,519195,7
