"","application_id","bad_ind","vehicle_year","vehicle_make","bankruptcy_ind","tot_derog","tot_tr","age_oldest_tr","tot_open_tr","tot_rev_tr","tot_rev_debt","tot_rev_line","rev_util","fico_score","purch_price","msrp","down_pyt","loan_term","loan_amt","ltv","tot_income","veh_mileage","used_ind"
"1",2314049,"1",1998,"FORD","N",7,9,64,2,1,506,500,101,650,17200,17350,0,36,17200,99,6550,24000,1
"2",63539,"0",2000,"DAEWOO","N",0,21,240,11,7,34605,57241,60,649,19588.54,19788,683.54,60,19588.54,99,4666.67,22,0
"3",7328510,"1",1998,"PLYMOUTH","N",7,10,60,NA,NA,NA,NA,0,613,13595,11450,0,60,10500,92,2000,19600,1
"4",8725187,"1",1997,"FORD","N",3,10,35,5,4,4019,5946,68,603,12999,12100,3099,60,10800,118,1500,10000,1
"5",4275127,"0",2000,"TOYOTA","N",0,10,104,2,0,0,1800,0,764,26328.04,22024,0,60,26328.04,122,4144,14,0
"6",8712513,"0",2000,"DODGE","Y",2,15,136,4,3,3651,5747,64,680,26272.72,26375,0,36,26272.72,100,5400,1,0
"7",2063896,"0",2000,"INFINITI","N",0,13,339,4,3,2094,20115,10,794,31069,30519,0,36,9550,32,5416.67,500,0
"8",598458,"0",1994,"BUICK","N",0,2,261,NA,1,146,265,55,722,9600,8900,0,54,8600,98,1560,77267,1
"9",1526052,"1",1994,"MITT","N",2,13,213,3,2,2602,5529,47,664,6700,6350,500,42,6800,139,2416.67,40000,1
"10",8073975,"0",1999,"CHEV","Y",11,20,178,NA,3,1815,2097,87,646,15543,15100,0,60,14543,102,2933.33,6000,1
"11",3450204,"0",2000,"CHRYSLER","N",1,14,196,5,3,7043,16236,43,718,20160,19635,2288.54,60,17871.46,91,3200,19,0
"12",3468298,"1",1998,"TOYOTA","N",1,12,80,5,2,1803,12265,15,744,21983,17850,0,48,21983,129,5083.33,23865,1
"13",7051473,"0",2000,"TOYOTA","N",0,11,111,5,4,897,8590,10,763,22000,21872,0,60,22000,106,3750,14,0
"14",9278038,"0",2000,"JEEP","N",3,22,67,7,4,27561,33800,82,678,29607,30185,0,72,29607,98,76700,0,0
"15",8394551,"0",1998,"NISSAN","N",0,1,12,NA,NA,NA,NA,0,639,15651.93,15500,500,60,15151.93,106,1833.33,35984,1
"16",6442136,"0",1997,"LOTUS","N",1,11,58,5,1,1797,10108,18,689,63700,57000,35000,60,28700,50,8333.33,14000,1
"17",9952442,"1",1999,"CHEVROLET","N",2,15,72,8,7,9036,14163,64,784,36669,36669,1800,60,34869,96,10500,36669,1
"18",4372284,"0",1999,"TOYOTA","N",1,8,163,4,3,614,4613,13,674,27200,25000,0,72,25200,105,2000,1700,0
"19",9554019,"0",1997,"ACURA","N",2,15,136,4,1,897,1200,75,666,21079,21000,10000,60,9979,48,1800,33374,1
"20",9784596,"0",2000,"CHEVROLET","Y",6,8,233,NA,NA,9998,0,0,557,14550,15300,1000,60,13550,91,0,1,0
"21",5727517,"0",2000,"TOYOTA","N",1,32,381,5,3,7468,52389,14,746,20924.19,23422,0,48,20924.19,92,3033.33,18,0
"22",5658680,"0",1998,"MAZDA","N",NA,NA,NA,NA,NA,NA,NA,0,710,13159,13975,0,66,13159,94,3200,24335,1
"23",580294,"1",1998,"CHEVY","N",0,17,106,10,6,9393,10459,90,654,24995,22000,0,66,21414.64,99,1720,28659,1
"24",8684192,"1",1997,"FORD","",NA,NA,NA,NA,NA,NA,NA,0,NA,24400,23500,1100,60,11800,63,2350,35000,1
"25",5608566,"0",0,"","N",0,1,27,NA,NA,NA,NA,0,715,6838,7299,600,60,6238,104,800,0,0
"26",7420179,"0",1996,"CHEVY","Y",7,20,289,6,3,2387,3023,79,650,12860,8520,0,54,8513,101,1850,62237,1
"27",4160437,"0",2000,"FORD","N",0,3,18,NA,NA,9998,0,0,705,18709.57,16305,429.52,60,18280.05,112,1400,14,0
"28",9494040,"0",1995,"SATURN","N",0,16,413,5,3,5613,22787,25,776,10126.1,8275,0,54,9626.1,130,4166.67,19000,1
"29",4695901,"1",1997,"TOYOTA","N",2,10,46,5,3,1557,1400,111,626,12320,11900,500,54,11820,108,5000,45200,1
"30",2796882,"0",2000,"CHEV","N",0,47,281,10,8,5078,107456,5,685,31120,34192,3000,60,28120,82,4583.33,1,0
"31",8954580,"0",2000,"HONDA","N",5,19,121,8,3,1057,3000,35,626,19065,19065,0,60,19065,108,3666.67,10,0
"32",1911370,"0",2000,"CHEVROLET","N",0,4,297,NA,2,5287,13700,39,751,16484.98,15200,1500,60,11667,78,2848,17,1
"33",8040220,"0",1999,"FORD","N",6,24,150,5,3,2308,22900,10,629,10539.25,9500,1225,63,9314.25,98,4000,24752,1
"34",2296392,"0",1999,"FORD","",3,4,35,NA,NA,NA,NA,0,NA,22259,22000,0,66,22259,117,4100,19000,1
"35",777364,"0",1995,"CHEV","Y",0,2,124,NA,2,2318,2366,98,712,15315,13450,2500,60,12815,100,2333,60220,1
"36",2293391,"0",1998,"OLDS","N",8,29,198,7,4,6989,8200,85,647,18993.85,21975,6000,60,12993.85,60,10000,38342,0
"37",1205860,"0",2000,"DODGE","N",0,4,16,NA,1,178,7000,3,777,25409.95,28750,1010,60,24399.95,87,375,15,0
"38",2509128,"0",1996,"TOYOTA","Y",11,12,102,NA,0,0,130,0,635,17533,15900,1500,54,10433,79,20500,54000,1
"39",81676,"0",2000,"FORD","N",0,6,24,NA,4,2574,9600,27,685,15158,15000,1500,60,13158,93,3110,1,0
"40",583904,"0",1997,"FORD","Y",9,21,110,NA,NA,9998,9998,100,634,13815.28,14400,1000,60,12815.28,90,1600,20116,1
"41",4670268,"1",1995,"MITSUBISHI","N",0,11,63,5,2,1538,5804,26,746,5838,5000,0,24,4838,99,3333.33,67000,1
"42",554239,"1",1998,"FORD","N",0,5,15,3,2,1423,2600,55,609,21500,22500,0,60,21150,94,4225,28837,1
"43",8274216,"0",1999,"FORD","N",0,6,112,NA,1,1779,10400,17,756,22000,23000,0,39,22000,96,4000,18000,1
"44",8188405,"0",1999,"CHEVY","N",0,24,377,5,3,915,51400,2,791,35900,38119,11500,60,24400,64,8500,51,1
"45",6891372,"0",1999,"FORD","N",1,30,376,8,1,227,39538,1,765,21606,20000,1500,66,20106,113,10000,6965,1
"46",142744,"0",1999,"JEEP","N",0,7,45,2,1,1400,1720,81,660,25678.62,25000,0,60,25678.62,103,2000,22000,1
"47",5231624,"0",1999,"FORD","N",2,16,318,4,2,1059,8000,13,712,27010,30860,1393,72,25617,83,2000,2000,1
"48",2084001,"1",1996,"CHEVY","N",3,9,57,5,3,5548,13460,41,657,11700,13325,0,60,10700,83,3333.33,64000,1
"49",4959490,"0",1999,"DODGE","N",0,5,35,3,2,2746,5120,54,717,16985,13500,400,66,14675,110,1600,25463,1
"50",160362,"0",1999,"JEEP","N",0,23,308,5,2,5201,7700,68,549,19629,19000,11500,60,8129,43,3600,11000,1
"51",6772910,"0",1999,"FORD","N",0,29,253,6,5,4219,11909,35,730,9600,10000,2000,60,12400,149,2900,24000,1
"52",5638026,"0",2000,"FORD","N",18,29,88,3,2,332,534,62,605,34400,36000,0,60,34400,96,6000,749,1
"53",9565566,"0",2000,"TOYOTA","N",0,13,32,3,1,381,10572,4,737,30191,22798,1320,60,28871,127,3000,240,0
"54",5708314,"0",2000,"CHRYSLER","N",2,34,155,4,2,6566,7200,91,723,19911,22715,2550,48,17361,77,4908,18,0
"55",8854336,"0",1993,"CHEVY","N",0,35,396,9,6,51012,77018,66,666,16500,20000,0,24,16500,84,9166.67,27000,1
"56",9083353,"0",1999,"FORD","N",2,23,181,5,4,26796,42500,63,615,22000,23000,0,48,22000,96,5333.33,18000,1
"57",5322184,"1",1997,"FORD","N",4,17,184,8,4,2136,2716,79,664,11200,11000,300,60,10900,111,3100,47000,1
