week,NTV_IMP,STV_IMP,DSP_IMP,PSC_IMP,NSP_CLT,MGZ_CLT,NRx
2013/7/1,5083156419,21613642.46,154494946.2,396316.0809,3815151.388,103808.3249,18521.08438
2013/7/8,5237763152,11838279.53,204710389,395533.811,2354617.522,1104873.28,22365.55271
2013/7/15,4363948205,20146122.19,171673552.2,335951.6653,0,1215644.668,21177.96671
2013/7/22,4809226302,21282432.93,234218414.4,336437.0366,0,1154307.957,20518.54129
2013/7/29,5103255501,24657889.36,240913992.8,378262.2527,2649396.218,1122343.77,22588.03245
2013/8/5,5249770834,13505682.22,195140745.6,423532.6659,2362197.792,1231341.489,22578.67039
2013/8/12,4980001788,21212882.82,166090911.5,453254.2687,0,760723.8193,19371.74685
2013/8/19,5046169346,21725316.24,157501965.8,468797.6078,0,469975.8226,19255.7508
2013/8/26,5215647173,22850017.02,191423182.6,489628.0436,3683746.165,290351.4629,20175.42543
2013/9/2,5189010618,12515469.76,197692801.5,494842.9947,3451039.374,179379.3808,17900.37454
2013/9/9,4976591077,23692506.22,213085359.3,474589.3176,0,1359126.514,21972.07814
2013/9/16,5576958561,25504312.18,164860071.7,463404.1961,1906082.383,839669.5163,19857.31894
2013/9/23,5951913897,28206822.05,165583723.3,409375.6873,3159628.269,1052533.032,22300.06041
2013/9/30,6378118826,15449512.71,200552681.9,383802.2131,5762600.691,650255.8021,19840.66559
2013/10/7,5580690910,25712867.9,214912042.1,373127.7105,494436.5872,401728.5876,21994.70827
2013/10/14,6504916469,26125945.36,203761494.3,389882.0704,553229.3747,248188.2631,21108.63563
2013/10/21,7052235230,27782392.19,147471188.1,431062.5159,0,153330.9201,21110.16947
2013/10/28,7427609811,15217042.91,193941899.7,429346.1058,2096968.833,94727.97283,20405.38089
2013/11/4,6387394103,27241731.72,240703306.7,463735.0278,4553483.414,58523.02219,23498.10371
2013/11/11,6468392902,27960037.64,185000143.1,454755.7589,0,1091490.86,21313.44657
2013/11/18,6525601598,26883653.42,194412522.3,476272.3007,2846416.068,1456574.829,21748.66514
2013/11/25,6494678743,14724783.4,212438059.1,437543.7706,2184521.12,1239622.97,18604.01069
2013/12/2,5567425280,27403892.66,251536888.1,484368.4664,0,765840.125,20080.63399
2013/12/9,5886442544,29151374.1,250893229.1,485299.038,0,1496765.672,22205.22816
2013/12/16,6076916287,29099037.23,192709720,458196.5022,3131189.138,1569248.724,23650.68784
2013/12/23,6190877868,15938199.09,163318242.3,422073.2091,3294236.813,1391236.963,17944.92404
2013/12/30,4779533459,8729711.168,186541589.7,379547.6689,357508.7613,1698895.536,18900.71448
2014/1/6,4582994220,22512149.33,191013576.7,356583.6525,0,1049579.107,18672.2879
2014/1/13,5242456315,25055452.14,176345565.1,344657.5341,0,1507378.523,18963.0315
2014/1/20,5332463989,13723436.33,159806832.6,328517.6665,79077.37328,1572226.107,20376.60928
2014/1/27,3367162350,22796381.71,172628370.3,336217.2336,2455589.186,971322.6262,19382.58986
2014/2/3,4226746734,26160216.17,206031202.4,335147.4918,79077.37328,600083.9446,17757.72358
2014/2/10,4730736278,26380939.43,280251287.5,360170.1577,2457111.206,370732.3714,21586.1752
2014/2/17,5252659687,14449435.61,195491811.1,391829.2335,2238946.438,229038.7744,20934.49897
2014/2/24,4183350404,23565092.5,184919108.5,358174.4574,3281021.491,141500.3496,18476.45224
2014/3/3,4764619695,25890971.15,208718472.9,331481.0791,177687.5798,87419.03636,19617.09038
2014/3/10,5239057212,26262398.98,251032583.4,359046.4031,535182.3326,961157.1311,21218.51149
2014/3/17,5392562964,14384508.34,196640880.5,326935.7548,2174616.178,1602483.644,21343.66292
2014/3/24,5922481268,7878719.694,188390357.6,320061.4978,3582495.397,1592444.681,19165.37025
