"","ID","Prod","Quant","Val","Insp"
"53","v42","p11",51097,310780,"ok"
"56","v45","p11",260,1925,"ok"
"68","v42","p11",51282,278770,"ok"
"77","v50","p11",46903,281485,"ok"
"82","v46","p12",475,2600,"ok"
"84","v48","p12",433,3395,"ok"
"96","v49","p14",212,1545,"ok"
"163","v50","p20",373819,1006375,"ok"
"204","v50","p26",36917,117195,"ok"
"241","v70","p33",21777,91360,"ok"
"391","v68","p59",111,23000,"fraud"
"392","v68","p59",107,1015,"ok"
"560","v100","p108",192866,384780,"ok"
"564","v108","p109",34611,12485,"fraud"
"633","v113","p122",74396,195375,"ok"
"715","v92","p146",1263,4160,"ok"
"716","v93","p146",945,5680,"ok"
"735","v75","p152",116,1105,"ok"
"974","v169","p211",170,1095,"ok"
"1014","v160","p215",8454,43150,"ok"
"1015","v161","p215",7322,56570,"ok"
"1019","v169","p216",1986,132800,"fraud"
"1021","v167","p216",101,1065,"ok"
"1064","v183","p225",449988,280360,"ok"
"1065","v184","p225",269544,158640,"ok"
"1079","v190","p225",512766,270665,"ok"
"1085","v183","p225",249544,108630,"ok"
"1086","v183","p225",386766,204265,"ok"
"1105","v184","p225",375100,267765,"ok"
"1112","v184","p226",292322,58260,"ok"
"1113","v194","p226",114,4515,"fraud"
"1114","v194","p226",213,11745,"fraud"
"1115","v195","p226",181211,57230,"ok"
"1121","v194","p226",172,24800,"fraud"
"1140","v54","p227",9266,41125,"ok"
"1171","v54","p232",10916,19145,"ok"
"1194","v44","p235",111,1015,"ok"
"1350","v43","p276",372,1195,"ok"
"1418","v43","p289",138,1055,"ok"
"1461","v231","p302",13058,94650,"ok"
"1489","v242","p314",4774894,1285080,"ok"
"1494","v243","p314",277877,9375,"fraud"
"1505","v245","p319",3500100,830345,"ok"
"1510","v247","p320",41211,45635,"ok"
"1512","v216","p321",46166,13020,"ok"
"1549","v214","p334",9305,5630,"ok"
"1568","v158","p342",650,25615,"ok"
"1570","v155","p342",130,21270,"ok"
"1571","v157","p342",40100,7200,"fraud"
"1625","v279","p362",51566,6175,"fraud"
"1634","v129","p365",56100,82045,"ok"
"1646","v287","p367",14377,22220,"ok"
"1648","v287","p367",12766,19360,"ok"
"1660","v289","p370",11131,74625,"ok"
"1705","v50","p376",102,1010,"ok"
"2047","v110","p460",60100,59945,"ok"
"2048","v111","p460",12900,10790,"ok"
"2049","v79","p460",103,1050,"ok"
"2076","v84","p471",2877,11525,"ok"
"2166","v210","p498",8044,97925,"ok"
"2283","v154","p537",105,9655,"fraud"
"2289","v345","p538",183,17490,"fraud"
"2292","v349","p538",169,1100,"ok"
"2293","v350","p538",216798,105340,"ok"
"2312","v359","p544",128,4445,"fraud"
"2323","v363","p545",746,7400,"fraud"
"2328","v368","p546",101,1030,"ok"
"2368","v388","p556",24920,17855,"ok"
"2380","v394","p559",3130200,27440,"ok"
"2381","v363","p559",1079,10835,"fraud"
"2395","v403","p566",157,5715,"fraud"
"2401","v404","p567",192566,17060,"ok"
"2441","v253","p584",6755,5015,"ok"
"2442","v365","p584",138,1295,"ok"
"2517","v460","p600",101,1015,"ok"
"2519","v420","p601",217233,16360,"ok"
"2649","v263","p650",5100,6325,"ok"
"2663","v371","p658",26766,18475,"ok"
"2886","v483","p739",11277,20410,"ok"
"2896","v538","p741",211,3000,"ok"
"2992","v397","p774",7058,22015,"ok"
"2998","v317","p775",18433,34225,"ok"
"3004","v563","p777",1300,12125,"ok"
"3005","v564","p777",288,4880,"ok"
"3006","v565","p777",711,8900,"ok"
"3007","v294","p777",655,9610,"ok"
"3008","v566","p777",211,2480,"ok"
"3009","v566","p777",238,2880,"ok"
"3010","v566","p777",377,4705,"ok"
"3011","v5","p777",105,1445,"ok"
"3012","v441","p777",113,1290,"ok"
"3013","v564","p777",280,4980,"ok"
"3014","v496","p777",600,16930,"ok"
"3015","v497","p777",213,6295,"ok"
"3016","v545","p777",175,3845,"ok"
"3017","v447","p777",113,1475,"ok"
"3018","v546","p777",211,3400,"ok"
"3019","v440","p777",800,34295,"ok"
"3020","v534","p777",266,3160,"ok"
"3021","v442","p777",6758,139445,"ok"
"3022","v442","p777",655,6325,"ok"
