trad_id,cust_id,time,amount,type_label,type
23351,10006,9/27/2009,58,特价,Special_offer
23372,30031,9/27/2009,69,特价,Special_offer
23447,40102,9/28/2009,69,特价,Special_offer
23448,20173,9/28/2009,69,特价,Special_offer
23449,40017,9/28/2009,69,特价,Special_offer
23464,30132,9/28/2009,81,正常,Normal
23465,20145,9/28/2009,60,正常,Normal
23466,30087,9/28/2009,72,正常,Normal
23467,20102,9/28/2009,51,正常,Normal
23469,40051,9/28/2009,60,正常,Normal
23472,10299,9/28/2009,60,正常,Normal
23496,10128,9/29/2009,72,特价,Special_offer
23499,40239,9/29/2009,51,特价,Special_offer
23500,30108,9/29/2009,60,特价,Special_offer
23501,30089,9/29/2009,72,特价,Special_offer
23502,30068,9/29/2009,81,特价,Special_offer
23503,20013,9/29/2009,60,特价,Special_offer
23504,10247,9/29/2009,162,特价,Special_offer
23505,20255,9/29/2009,51,特价,Special_offer
23506,20132,9/29/2009,60,特价,Special_offer
23507,10229,9/29/2009,81,特价,Special_offer
23518,20179,9/29/2009,81,特价,Special_offer
23521,20183,9/29/2009,81,特价,Special_offer
23526,10149,9/29/2009,77,特价,Special_offer
23607,10078,9/30/2009,81,特价,Special_offer
23608,20051,9/30/2009,77,特价,Special_offer
23609,10158,9/30/2009,60,特价,Special_offer
23610,40107,9/30/2009,81,特价,Special_offer
23611,10044,9/30/2009,180,特价,Special_offer
23612,30182,9/30/2009,120,特价,Special_offer
23613,30068,9/30/2009,51,特价,Special_offer
23614,40020,9/30/2009,72,特价,Special_offer
23615,30073,9/30/2009,81,特价,Special_offer
23616,20029,9/30/2009,60,特价,Special_offer
23617,30052,9/30/2009,72,特价,Special_offer
23618,20240,9/30/2009,60,特价,Special_offer
23619,10170,9/30/2009,81,特价,Special_offer
23620,20076,9/30/2009,81,特价,Special_offer
23621,10233,9/30/2009,72,特价,Special_offer
23622,40194,9/30/2009,60,特价,Special_offer
23627,20089,9/30/2009,81,特价,Special_offer
23630,30062,9/30/2009,77,特价,Special_offer
23631,20098,9/30/2009,81,特价,Special_offer
23632,20092,9/30/2009,81,特价,Special_offer
23637,10099,9/30/2009,81,特价,Special_offer
23642,10171,9/30/2009,79,特价,Special_offer
23645,10225,9/30/2009,60,特价,Special_offer
23738,10077,10/1/2009,77,特价,Special_offer
23739,30267,10/1/2009,72,特价,Special_offer
23740,10167,10/1/2009,81,特价,Special_offer
23741,30191,10/1/2009,81,特价,Special_offer
23742,20054,10/1/2009,60,特价,Special_offer
23743,20198,10/1/2009,60,特价,Special_offer
23744,10150,10/1/2009,77,特价,Special_offer
23745,20020,10/1/2009,72,特价,Special_offer
23746,10080,10/1/2009,60,特价,Special_offer
23747,40224,10/1/2009,51,特价,Special_offer
23748,20045,10/1/2009,81,特价,Special_offer
23758,40087,10/1/2009,60,特价,Special_offer
23762,40127,10/1/2009,60,特价,Special_offer
23778,10170,10/1/2009,60,特价,Special_offer
23782,10063,10/1/2009,-60,退货,returned_goods
23783,20130,10/1/2009,60,特价,Special_offer
23872,40238,10/2/2009,72,特价,Special_offer
23873,30189,10/2/2009,60,特价,Special_offer
23874,10099,10/2/2009,72,特价,Special_offer
23875,30102,10/2/2009,77,特价,Special_offer
23876,30175,10/2/2009,144,特价,Special_offer
23877,10027,10/2/2009,72,特价,Special_offer
23878,20030,10/2/2009,81,特价,Special_offer
23879,10193,10/2/2009,81,特价,Special_offer
23880,40265,10/2/2009,60,特价,Special_offer
23881,30108,10/2/2009,72,特价,Special_offer
23882,10130,10/2/2009,81,特价,Special_offer
23883,10048,10/2/2009,120,特价,Special_offer
23884,10233,10/2/2009,77,特价,Special_offer
23885,20010,10/2/2009,72,特价,Special_offer
23962,40004,10/3/2009,72,特价,Special_offer
23963,40157,10/3/2009,72,特价,Special_offer
23964,20286,10/3/2009,81,特价,Special_offer
23965,30222,10/3/2009,72,特价,Special_offer
23966,10223,10/3/2009,60,特价,Special_offer
23967,10094,10/3/2009,81,特价,Special_offer
23968,40045,10/3/2009,60,特价,Special_offer
23977,40118,10/3/2009,60,特价,Special_offer
23978,10070,10/3/2009,72,特价,Special_offer
23979,20054,10/3/2009,60,特价,Special_offer
24052,40008,10/4/2009,72,特价,Special_offer
24053,10183,10/4/2009,60,特价,Special_offer
24054,40005,10/4/2009,81,特价,Special_offer
24055,20253,10/4/2009,81,特价,Special_offer
24056,30060,10/4/2009,81,特价,Special_offer
24057,30231,10/4/2009,180,特价,Special_offer
