word,TFIDF
汪淼,3979.59
三体,3028.71
叶文洁,2829.15
太阳,1712.68
文明,1645.2
宇宙,1341.04
红岸,1303.05
没有,1254.47
看到,1201.61
地球,1157.33
世界,1087.51
智子,1084.25
知道,973.657
纪元,895.337
现在,834.241
信息,830.11
人类,765.77
可能,749.606
元首,677.697
基地,675.03
科学,663.729
质子,657.172
大史,645.656
发射,622.022
已经,612.278
外星,608.58
可以,592.365
监听,585.453
执政官,572.063
地说,563.482
杨卫宁,551.743
很快,550.57
不是,538.153
审问者,516.525
发现,516.02
这种,508.218
倒计时,502.739
天线,502.275
行星,494.871
研究,479.936
太空,477.943
看着,471.409
计算机,469.53
东西,467.782
运行,467.072
两个,455.269
伊文斯,454.776
出现,449.627
巨大,441.472
游戏,438.525
起来,435.747
周文王,429.953
发出,429.396
感觉,428.752
降临,428.37
时间,428.352
最后,423.743
一种,409.032
观测,405.689
回答,403.396
背景,402.492
存在,402.205
接收,401.735
真的,399.996
金字塔,399.544
三颗,397.977
系统,396.814
飞星,387.394
当然,385.369
仿佛,382.148
问题,380.497
文洁,363.915
申玉菲,363.915
技术,363.398
志成,360.565
诺伊曼,357.413
父亲,353.854
进行,350.35
辐射,349.987
出来,349.536
一名,342.766
地上,341.027
点点头,334.752
加速器,332.557
一下,332.471
所有,326.479
胶卷,324.289
一次,321.862
听到,321.401
声音,319.31
红卫兵,317.254
审判,312.375
三体问题,309.889
变成,309.111
其实,307.656
能够,304.877
看看,302.985
孩子,300.519
似乎,298.036
拯救,297.582
