代码,时间,收盘价(元)
600596.SH,2001/9/6,18
600596.SH,2001/9/7,17.05
600596.SH,2001/9/10,17.45
600596.SH,2001/9/11,17.28
600596.SH,2001/9/12,17.38
600596.SH,2001/9/13,17.25
600596.SH,2001/9/14,17.08
600596.SH,2001/9/17,16.95
600596.SH,2001/9/18,16.66
600596.SH,2001/9/19,16.81
600596.SH,2001/9/20,16.77
600596.SH,2001/9/21,16.7
600596.SH,2001/9/24,16.58
600596.SH,2001/9/25,16.67
600596.SH,2001/9/26,16.35
600596.SH,2001/9/27,16.4
600596.SH,2001/9/28,16.27
600596.SH,2001/10/8,15.5
600596.SH,2001/10/9,15.68
600596.SH,2001/10/10,14.65
600596.SH,2001/10/11,14.3
600596.SH,2001/10/12,14.95
600596.SH,2001/10/15,14.8
600596.SH,2001/10/16,14.31
600596.SH,2001/10/17,14.25
600596.SH,2001/10/18,13.7
600596.SH,2001/10/19,13.35
600596.SH,2001/10/22,13.14
600596.SH,2001/10/23,14.45
600596.SH,2001/10/24,15.48
600596.SH,2001/10/25,15.35
600596.SH,2001/10/26,15.83
600596.SH,2001/10/29,15.9
600596.SH,2001/10/30,15.8
600596.SH,2001/10/31,15.85
600596.SH,2001/11/1,15.75
600596.SH,2001/11/2,15.43
600596.SH,2001/11/5,15.11
600596.SH,2001/11/6,15.08
600596.SH,2001/11/7,14.15
600596.SH,2001/11/8,14.2
600596.SH,2001/11/9,14.95
600596.SH,2001/11/12,14.64
600596.SH,2001/11/13,14.41
600596.SH,2001/11/14,14.86
600596.SH,2001/11/15,15.06
600596.SH,2001/11/16,15.32
600596.SH,2001/11/19,15.65
600596.SH,2001/11/20,15.76
600596.SH,2001/11/21,15.88
600596.SH,2001/11/22,15.82
600596.SH,2001/11/23,15.59
600596.SH,2001/11/26,15.65
600596.SH,2001/11/27,15.93
600596.SH,2001/11/28,15.92
600596.SH,2001/11/29,15.8
600596.SH,2001/11/30,16.21
600596.SH,2001/12/3,16.21
600596.SH,2001/12/4,16.23
600596.SH,2001/12/5,15.8
600596.SH,2001/12/6,15.9
600596.SH,2001/12/7,15.8
600596.SH,2001/12/10,15.94
600596.SH,2001/12/11,15.93
600596.SH,2001/12/12,15.96
600596.SH,2001/12/13,15.57
600596.SH,2001/12/14,15.37
600596.SH,2001/12/17,15.43
600596.SH,2001/12/18,15.57
600596.SH,2001/12/19,15.25
600596.SH,2001/12/20,14.6
600596.SH,2001/12/21,14.78
600596.SH,2001/12/24,14.31
600596.SH,2001/12/25,14.41
600596.SH,2001/12/26,14.41
600596.SH,2001/12/27,14.41
600596.SH,2001/12/28,14.68
600596.SH,2001/12/31,14.7
600596.SH,2002/1/4,14.42
600596.SH,2002/1/7,14.1
600596.SH,2002/1/8,13.94
600596.SH,2002/1/9,14.07
600596.SH,2002/1/10,14.34
600596.SH,2002/1/11,13.9
600596.SH,2002/1/14,13.14
600596.SH,2002/1/15,13.05
600596.SH,2002/1/16,13.28
600596.SH,2002/1/17,12.61
600596.SH,2002/1/18,12.5
600596.SH,2002/1/21,11.95
600596.SH,2002/1/22,12.01
600596.SH,2002/1/23,12.94
600596.SH,2002/1/24,13.11
600596.SH,2002/1/25,12.97
600596.SH,2002/1/28,12.01
600596.SH,2002/1/29,12.23
600596.SH,2002/1/30,12.24
600596.SH,2002/1/31,13.46
600596.SH,2002/2/1,13.44
600596.SH,2002/2/4,13.68
600596.SH,2002/2/5,13.66
600596.SH,2002/2/6,13.35
600596.SH,2002/2/7,13.55
600596.SH,2002/2/8,13.7
600596.SH,2002/2/25,14.19
600596.SH,2002/2/26,14.3
600596.SH,2002/2/27,14.31
600596.SH,2002/2/28,13.92
600596.SH,2002/3/1,13.85
600596.SH,2002/3/4,14.52
600596.SH,2002/3/5,14.72
600596.SH,2002/3/6,14.78
600596.SH,2002/3/7,15.13
600596.SH,2002/3/8,15.01
600596.SH,2002/3/11,15.03
600596.SH,2002/3/12,14.86
600596.SH,2002/3/13,14.54
600596.SH,2002/3/14,14.94
600596.SH,2002/3/15,14.37
600596.SH,2002/3/18,14.39
600596.SH,2002/3/19,15.3
600596.SH,2002/3/20,15.21
600596.SH,2002/3/21,15.2
600596.SH,2002/3/22,15.07
600596.SH,2002/3/25,15.5
600596.SH,2002/3/26,15.12
600596.SH,2002/3/27,15.17
600596.SH,2002/3/28,15.13
600596.SH,2002/3/29,14.57
600596.SH,2002/4/1,14.47
600596.SH,2002/4/2,13.91
600596.SH,2002/4/3,13.96
600596.SH,2002/4/4,14.37
600596.SH,2002/4/5,14.17
600596.SH,2002/4/8,14.18
600596.SH,2002/4/9,14.49
600596.SH,2002/4/10,14.56
600596.SH,2002/4/11,14.18
600596.SH,2002/4/12,14.18
600596.SH,2002/4/15,13.94
600596.SH,2002/4/16,13.92
600596.SH,2002/4/17,14.11
600596.SH,2002/4/18,14.33
600596.SH,2002/4/19,14.42
600596.SH,2002/4/22,14.5
600596.SH,2002/4/23,14.4
600596.SH,2002/4/24,14.23
600596.SH,2002/4/25,14.08
600596.SH,2002/4/26,14.32
600596.SH,2002/4/29,14.5
600596.SH,2002/4/30,14.7
600596.SH,2002/5/8,14.4
600596.SH,2002/5/9,14
600596.SH,2002/5/10,14.18
600596.SH,2002/5/13,13.97
600596.SH,2002/5/14,13.69
600596.SH,2002/5/15,13.39
600596.SH,2002/5/16,13
600596.SH,2002/5/17,13.34
600596.SH,2002/5/20,13.15
600596.SH,2002/5/21,13.45
600596.SH,2002/5/22,13.45
600596.SH,2002/5/23,13.34
600596.SH,2002/5/24,12.96
600596.SH,2002/5/27,12.99
600596.SH,2002/5/28,13.12
600596.SH,2002/5/29,12.68
600596.SH,2002/5/30,12.59
600596.SH,2002/5/31,12.54
600596.SH,2002/6/3,12.38
600596.SH,2002/6/4,12.41
600596.SH,2002/6/5,12.21
600596.SH,2002/6/6,12.7
600596.SH,2002/6/7,12.81
600596.SH,2002/6/10,12.64
600596.SH,2002/6/11,12.68
600596.SH,2002/6/12,12.56
600596.SH,2002/6/13,12.41
600596.SH,2002/6/14,12.24
600596.SH,2002/6/17,12.2
600596.SH,2002/6/18,12.52
600596.SH,2002/6/19,12.42
600596.SH,2002/6/20,12.6
600596.SH,2002/6/21,13.03
600596.SH,2002/6/24,14.33
600596.SH,2002/6/25,14.57
600596.SH,2002/6/26,14.99
600596.SH,2002/6/27,14.9298
600596.SH,2002/6/28,14.6489
600596.SH,2002/7/1,14.4683
600596.SH,2002/7/2,14.5285
600596.SH,2002/7/3,14.5987
600596.SH,2002/7/4,14.4582
600596.SH,2002/7/5,14.388
600596.SH,2002/7/8,14.5485
600596.SH,2002/7/9,14.4984
600596.SH,2002/7/10,14.5987
600596.SH,2002/7/11,14.7492
600596.SH,2002/7/12,14.689
600596.SH,2002/7/15,14.6388
600596.SH,2002/7/16,14.6188
600596.SH,2002/7/17,14.1472
600596.SH,2002/7/18,14.1372
600596.SH,2002/7/19,14.1372
600596.SH,2002/7/22,13.9566
600596.SH,2002/7/23,13.9064
600596.SH,2002/7/24,13.9064
600596.SH,2002/7/25,13.9365
600596.SH,2002/7/26,13.8663
600596.SH,2002/7/29,13.9766
600596.SH,2002/7/30,13.9666
600596.SH,2002/7/31,13.7559
600596.SH,2002/8/1,13.6555
600596.SH,2002/8/2,13.7157
600596.SH,2002/8/5,13.6154
600596.SH,2002/8/6,13.7459
600596.SH,2002/8/7,13.7459
600596.SH,2002/8/8,13.8462
600596.SH,2002/8/9,13.6656
600596.SH,2002/8/12,13.4649
600596.SH,2002/8/13,13.3545
600596.SH,2002/8/14,13.3846
600596.SH,2002/8/15,13.2843
600596.SH,2002/8/16,13.485
600596.SH,2002/8/19,13.4348
600596.SH,2002/8/20,13.6154
600596.SH,2002/8/21,13.6555
600596.SH,2002/8/22,13.8161
600596.SH,2002/8/23,13.5853
600596.SH,2002/8/26,13.4448
600596.SH,2002/8/27,13.8161
600596.SH,2002/8/28,13.776
600596.SH,2002/8/29,13.6254
600596.SH,2002/8/30,13.6254
600596.SH,2002/9/2,13.7459
600596.SH,2002/9/3,13.8061
600596.SH,2002/9/4,13.6756
600596.SH,2002/9/5,13.4448
600596.SH,2002/9/6,13.3746
600596.SH,2002/9/9,13.3746
600596.SH,2002/9/10,13.3846
600596.SH,2002/9/11,13.3445
600596.SH,2002/9/12,13.4147
600596.SH,2002/9/13,13.4448
600596.SH,2002/9/16,13.4147
600596.SH,2002/9/17,13.4749
600596.SH,2002/9/18,13.4147
600596.SH,2002/9/19,13.5953
600596.SH,2002/9/20,13.5251
600596.SH,2002/9/23,13.495
600596.SH,2002/9/24,13.5552
600596.SH,2002/9/25,13.6254
600596.SH,2002/9/26,13.4448
600596.SH,2002/9/27,13.2843
600596.SH,2002/10/8,13.1238
600596.SH,2002/10/9,12.9231
600596.SH,2002/10/10,12.8428
600596.SH,2002/10/11,12.592
